Commit,File Sha,Type,Path,Lines Added,Lines Deleted,Current Lines,Commit Author,Commit Date Utc,Commit Message,Work Items,IsBugfix,BugfixProbability
53914f0a9cba77256188630e6870f98494a94e85,8dd4607a4b3c4f581d2728ef1cd2d15ad42e2ee2,Added,.gitignore,398,0,398,1,04/19/2024 02:07:44,Added project,0,False,0.01300682
53914f0a9cba77256188630e6870f98494a94e85,791cb45db90ec48323ba2b29def2b63ca73b5574,Added,.idea/.idea.MattEland.Werewolf/.idea/.gitignore,13,0,13,1,04/19/2024 02:07:44,Added project,0,False,0.009007705
53914f0a9cba77256188630e6870f98494a94e85,7b08163cebc50fb3e777eea4881b68fcebc10590,Added,.idea/.idea.MattEland.Werewolf/.idea/indexLayout.xml,8,0,8,1,04/19/2024 02:07:44,Added project,0,False,0.006220308
53914f0a9cba77256188630e6870f98494a94e85,febde0f8f9c3c8bc3d6bd35ecfd0d21ae1a7f9f2,Added,.idea/.idea.MattEland.Werewolf/.idea/material_theme_project_new.xml,17,0,17,1,04/19/2024 02:07:44,Added project,0,False,0.004304296
53914f0a9cba77256188630e6870f98494a94e85,f77ef21bdc1694e6af664e73a717beb5804944be,Added,MattEland.Werewolf.sln,34,0,34,1,04/19/2024 02:07:44,Added project,0,False,0.0029932144
53914f0a9cba77256188630e6870f98494a94e85,8ef0769eb0ea8f8f0dc2cc9b873580e7775e6de2,Added,MattEland.Wherewolf.Benchmarking/MattEland.Wherewolf.Benchmarking.csproj,19,0,19,1,04/19/2024 02:07:44,Added project,0,False,0.0020705075
53914f0a9cba77256188630e6870f98494a94e85,e5dff12bc410be0bac59bc70865a8e21827ec7f3,Added,MattEland.Wherewolf.Benchmarking/Program.cs,3,0,3,1,04/19/2024 02:07:44,Added project,0,False,0.0014243841
53914f0a9cba77256188630e6870f98494a94e85,61b0a1f7a919b01db6ade8f2e4c5ead0cccc5827,Added,MattEland.Wherewolf.Console/MattEland.Wherewolf.Console.csproj,19,0,19,1,04/19/2024 02:07:44,Added project,0,False,0.0009848169
53914f0a9cba77256188630e6870f98494a94e85,67e1c1795f592d5f01f04470fe696c637f3e0bc3,Added,MattEland.Wherewolf.Console/Program.cs,15,0,15,1,04/19/2024 02:07:44,Added project,0,False,0.00067992095
53914f0a9cba77256188630e6870f98494a94e85,8c927eb747a6a304db265e6753aee6c47504f604,Added,MattEland.Wherewolf.Tests/GlobalUsings.cs,1,0,1,1,04/19/2024 02:07:44,Added project,0,False,0.00046723607
53914f0a9cba77256188630e6870f98494a94e85,2fcceae113d45a39faa4db9fc0c45e8f8d8f68f1,Added,MattEland.Wherewolf.Tests/MattEland.Wherewolf.Tests.csproj,31,0,31,1,04/19/2024 02:07:44,Added project,0,False,0.00032421786
53914f0a9cba77256188630e6870f98494a94e85,8dde132c1156bf5b9a5b47d9258b1859ad9babd2,Added,MattEland.Wherewolf.Tests/UnitTest1.cs,54,0,54,1,04/19/2024 02:07:44,Added project,0,False,0.00022666226
53914f0a9cba77256188630e6870f98494a94e85,efff9fa6deb922a727f1e19f47739ec52cc207b8,Added,MattEland.Wherewolf/Controllers/HumanController.cs,5,0,5,1,04/19/2024 02:07:44,Added project,0,False,0.00015594176
53914f0a9cba77256188630e6870f98494a94e85,b8972d672174a70c07cefadc95ab8e8f798eb05e,Added,MattEland.Wherewolf/Controllers/PlayerController.cs,5,0,5,1,04/19/2024 02:07:44,Added project,0,False,0.00010728427
53914f0a9cba77256188630e6870f98494a94e85,4981791340275c9ffbca8d3cd44570f80b8497cb,Added,MattEland.Wherewolf/Controllers/RandomController.cs,6,0,6,1,04/19/2024 02:07:44,Added project,0,False,7.3832016E-05
53914f0a9cba77256188630e6870f98494a94e85,71076014035bfd089c9bda60321c6c4aabb74ccc,Added,MattEland.Wherewolf/Game.cs,14,0,14,1,04/19/2024 02:07:44,Added project,0,False,5.09429E-05
53914f0a9cba77256188630e6870f98494a94e85,a24a3540b49fca6e18197e9eb5bc3e0547db6264,Added,MattEland.Wherewolf/MattEland.Wherewolf.csproj,10,0,10,1,04/19/2024 02:07:44,Added project,0,False,3.5103603E-05
53914f0a9cba77256188630e6870f98494a94e85,f2c1dfc6f2cd4500218929c6ae12b83cd64c04f0,Added,MattEland.Wherewolf/Player.cs,7,0,7,1,04/19/2024 02:07:44,Added project,0,False,2.4165327E-05
a7918ed4426845719f580c4a0c222efa898e69a7,791cb45db90ec48323ba2b29def2b63ca73b5574,Renamed,.idea/.idea.MattEland.Wherewolf/.idea/.gitignore,0,0,13,1,04/19/2024 02:12:08,Fixed path to Wherewolf,0,True,0.9765765
a7918ed4426845719f580c4a0c222efa898e69a7,7b08163cebc50fb3e777eea4881b68fcebc10590,Renamed,.idea/.idea.MattEland.Wherewolf/.idea/indexLayout.xml,0,0,8,1,04/19/2024 02:12:08,Fixed path to Wherewolf,0,True,0.9765608
a7918ed4426845719f580c4a0c222efa898e69a7,febde0f8f9c3c8bc3d6bd35ecfd0d21ae1a7f9f2,Renamed,.idea/.idea.MattEland.Wherewolf/.idea/material_theme_project_new.xml,0,0,17,1,04/19/2024 02:12:08,Fixed path to Wherewolf,0,True,0.97654504
a7918ed4426845719f580c4a0c222efa898e69a7,94a25f7f4cb416c083d265558da75d457237d671,Added,.idea/.idea.MattEland.Wherewolf/.idea/vcs.xml,6,0,6,1,04/19/2024 02:12:08,Fixed path to Wherewolf,0,True,0.88108647
a7918ed4426845719f580c4a0c222efa898e69a7,f77ef21bdc1694e6af664e73a717beb5804944be,Renamed,MattEland.Wherewolf.sln,0,0,34,1,04/19/2024 02:12:08,Fixed path to Wherewolf,0,True,0.8810144
b6c5e208d066d227269c70517b096b99ce9634c3,786f8bea43acea76303ec6e50599b5a3d5302638,Modified,MattEland.Wherewolf.Console/Program.cs,11,4,22,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.008308071
b6c5e208d066d227269c70517b096b99ce9634c3,8dde132c1156bf5b9a5b47d9258b1859ad9babd2,Renamed,MattEland.Wherewolf.Tests/GamePlayerTests.cs,0,0,54,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.008302404
b6c5e208d066d227269c70517b096b99ce9634c3,ce85fa466a5a691fe7945df1a3628700ca3bfa5b,Added,MattEland.Wherewolf.Tests/GameRoleTests.cs,54,0,54,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.001511135
b6c5e208d066d227269c70517b096b99ce9634c3,068747e73c6e3029bd6b2b3d143a6171944b28e3,Modified,MattEland.Wherewolf/Game.cs,31,2,43,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.0015194338
b6c5e208d066d227269c70517b096b99ce9634c3,db0b58a49d148ea43b6483993318e08c0f39e22b,Added,MattEland.Wherewolf/Roles/GameRole.cs,5,0,5,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.0010457798
b6c5e208d066d227269c70517b096b99ce9634c3,36bb9104d3ef43412e878e99d9df00a7ca1d97a1,Added,MattEland.Wherewolf/Roles/Team.cs,7,0,7,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.0007201418
b6c5e208d066d227269c70517b096b99ce9634c3,bbe4f5c06aae4079f4dadc0d036e9f2b3ce1165d,Added,MattEland.Wherewolf/Roles/VillagerRole.cs,6,0,6,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.00049568946
b6c5e208d066d227269c70517b096b99ce9634c3,3fc2870c2d021eeca8ae3eb2e510aa805fab75d2,Added,MattEland.Wherewolf/Roles/WerewolfRole.cs,5,0,5,1,04/19/2024 02:25:47,Structuring early application.,0,False,0.0003410589
